code,name,lat,lon
WI,Wisconsin,44.500000,-89.500000
WV,West Virginia,39.000000,-80.500000
VT,Vermont,44.000000,-72.699997
TX,Texas,31.000000,-100.000000
SD,South Dakota,44.500000,-100.000000
RI,Rhode Island,41.700001,-71.500000
OR,Oregon,44.000000,-120.500000
NY,New York,43.000000,-75.000000
NH,New Hampshire,44.000000,-71.500000
NE,Nebraska,41.500000,-100.000000
KS,Kansas,38.500000,-98.000000
MS,Mississippi,33.000000,-90.000000
IL,Illinois,40.000000,-89.000000
DE,Delaware,39.000000,-75.500000
CT,Connecticut,41.599998,-72.699997
AR,Arkansas,34.799999,-92.199997
IN,Indiana,40.273502,-86.126976
MO,Missouri,38.573936,-92.603760
FL,Florida,27.994402,-81.760254
NV,Nevada,39.876019,-117.224121
ME,Maine,45.367584,-68.972168
MI,Michigan,44.182205,-84.506836
GA,Georgia,33.247875,-83.441162
HI,Hawaii,19.741755,-155.844437
AK,Alaska,66.160507,-153.369141
TN,Tennessee,35.860119,-86.660156
VA,Virginia,37.926868,-78.024902
NJ,New Jersey,39.833851,-74.871826
KY,Kentucky,37.839333,-84.270020
ND,North Dakota,47.650589,-100.437012
MN,Minnesota,46.392410,-94.636230
OK,Oklahoma,36.084621,-96.921387
MT,Montana,46.965260,-109.533691
WA,Washington,47.751076,-120.740135
UT,Utah,39.419220,-111.950684
CO,Colorado,39.113014,-105.358887
OH,Ohio,40.367474,-82.996216
AL,Alabama,32.318230,-86.902298
IA,Iowa,42.032974,-93.581543
NM,New Mexico,34.307144,-106.018066
SC,South Carolina,33.836082,-81.163727
PA,Pennsylvania,41.203323,-77.194527
AZ,Arizona,34.048927,-111.093735
MD,Maryland,39.045753,-76.641273
MA,Massachusetts,42.407211,-71.382439
CA,California,36.778259,-119.417931
ID,Idaho,44.068203,-114.742043
WY,Wyoming,43.075970,-107.290283
NC,North Carolina,35.782169,-80.793457
LA,Louisiana,30.391830,-92.329102
